Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4n7,C_0805_2012Metric,128.905000,-29.144000,90.000000,bottom
C2,4n7,C_0805_2012Metric,91.440000,-29.276000,90.000000,bottom
C3,10u,C_0805_2012Metric,95.377000,-106.360000,90.000000,bottom
C4,100n,C_0603_1608Metric,106.807000,-28.435000,90.000000,bottom
C5,100n,C_0603_1608Metric,106.807000,-32.525000,90.000000,bottom
C6,100n,C_0603_1608Metric,95.377000,-111.773000,270.000000,bottom
C7,100n,C_0603_1608Metric,34.671000,-47.879000,270.000000,bottom
C8,100n,C_0603_1608Metric,35.179000,-73.914000,270.000000,bottom
C9,10u,C_0805_2012Metric,96.901000,-97.724000,270.000000,bottom
C10,100n,C_0603_1608Metric,90.551000,-97.790000,270.000000,bottom
C11,10u,C_0805_2012Metric,45.085000,-17.714000,90.000000,bottom
C12,100n,C_0603_1608Metric,93.599000,-97.803000,270.000000,bottom
C13,10u,C_0805_2012Metric,45.085000,-23.048000,270.000000,bottom
C14,1u,C_0805_2012Metric,74.803000,-100.010000,270.000000,bottom
C15,100n,C_0603_1608Metric,78.486000,-100.343000,270.000000,bottom
C16,4u7,C_0805_2012Metric,51.435000,-111.440000,270.000000,bottom
C17,100n,C_0603_1608Metric,56.388000,-111.519000,270.000000,bottom
C18,100n,C_0603_1608Metric,14.745000,-69.215000,0.000000,bottom
C19,1u,C_0805_2012Metric,47.244000,-100.396000,90.000000,bottom
C20,100n,C_0603_1608Metric,14.846000,-72.390000,0.000000,bottom
C21,1u,C_0805_2012Metric,51.054000,-100.396000,270.000000,bottom
C22,4u7,C_0805_2012Metric,61.214000,-90.744000,90.000000,bottom
C23,100n,C_0603_1608Metric,90.805000,-59.550000,270.000000,bottom
C24,4u7,C_0805_2012Metric,61.214000,-94.808000,90.000000,bottom
C27,100n,C_0603_1608Metric,107.315000,-38.976000,90.000000,bottom
C28,22n,C_0603_1608Metric,84.455000,-54.750000,270.000000,bottom
C29,100n,C_0603_1608Metric,107.315000,-43.193000,90.000000,bottom
C30,100n,C_0603_1608Metric,91.440000,-38.976000,90.000000,bottom
C31,100n,C_0603_1608Metric,58.928000,-59.068000,270.000000,bottom
C32,100n,C_0603_1608Metric,91.440000,-43.167000,90.000000,bottom
C33,22n,C_0603_1608Metric,49.530000,-53.962000,270.000000,bottom
C34,22n,C_0603_1608Metric,49.530000,-68.212000,90.000000,bottom
C35,100n,C_0603_1608Metric,82.042000,-92.697000,90.000000,bottom
C36,100n,C_0603_1608Metric,85.344000,-92.697000,90.000000,bottom
C37,100n,C_0603_1608Metric,88.646000,-92.697000,90.000000,bottom
C38,100n,C_0603_1608Metric,91.694000,-92.697000,90.000000,bottom
C39,100n,C_0603_1608Metric,94.742000,-92.723000,90.000000,bottom
C40,100n,C_0603_1608Metric,86.487000,-108.725000,270.000000,bottom
C41,100n,C_0603_1608Metric,78.740000,-92.697000,90.000000,bottom
C42,1u,C_0805_2012Metric,79.629000,-108.900000,90.000000,bottom
C43,1u,C_0805_2012Metric,83.185000,-108.900000,90.000000,bottom
C44,470n,C_0805_2012Metric,34.163000,-54.864000,270.000000,bottom
C45,470n,C_0805_2012Metric,34.163000,-80.706000,270.000000,bottom
C46,100n,C_0603_1608Metric,48.895000,-62.370000,270.000000,bottom
C47,100n,C_0603_1608Metric,92.837000,-66.053000,270.000000,bottom
D1,B5819W,D_SOD-123,60.325000,-15.876000,90.000000,bottom
FB1,100R @ 100MHz,L_0805_2012Metric,49.610500,-16.510000,0.000000,bottom
FB2,100R @ 100MHz,L_0805_2012Metric,71.882000,-92.917500,90.000000,bottom
FB3,100R @ 100MHz,L_0805_2012Metric,46.990000,-111.552500,270.000000,bottom
FB4,100R @ 100MHz,L_0805_2012Metric,19.685000,-70.912500,270.000000,bottom
Q1,MMBT3904,SOT-23,87.376000,-79.756000,90.000000,bottom
Q2,MMBT3904,SOT-23,98.425000,-79.756000,90.000000,bottom
R1,2M2,R_0603_1608Metric,132.715000,-29.020000,90.000000,bottom
R2,2M2,R_0603_1608Metric,125.095000,-29.020000,90.000000,bottom
R3,2M2,R_0603_1608Metric,95.885000,-29.401000,90.000000,bottom
R4,2M2,R_0603_1608Metric,86.995000,-29.464000,90.000000,bottom
R5,2k2,R_0603_1608Metric,19.685000,-75.692000,90.000000,bottom
R6,1R,R_0603_1608Metric,47.244000,-95.567000,90.000000,bottom
R7,1R,R_0603_1608Metric,54.356000,-100.521000,90.000000,bottom
R8,100k,R_0603_1608Metric,84.455000,-59.500000,90.000000,bottom
R11,20k,R_0603_1608Metric,87.630000,-59.500000,270.000000,bottom
R12,1k2,R_0603_1608Metric,111.125000,-33.210000,270.000000,bottom
R13,1k2,R_0603_1608Metric,86.995000,-33.591000,90.000000,bottom
R14,10k,R_0603_1608Metric,120.904000,-29.147000,270.000000,bottom
R15,10k,R_0603_1608Metric,73.025000,-27.750000,270.000000,bottom
R16,1k2,R_0603_1608Metric,39.243000,-101.917000,90.000000,bottom
R17,1k2,R_0603_1608Metric,104.648000,-102.298000,90.000000,bottom
R18,120k,R_0603_1608Metric,87.376000,-75.438000,90.000000,bottom
R19,12k,R_0603_1608Metric,84.201000,-75.438000,90.000000,bottom
R20,300k,R_0603_1608Metric,90.805000,-54.800000,90.000000,bottom
R21,120k,R_0603_1608Metric,87.630000,-54.800000,270.000000,bottom
R22,10k,R_0603_1608Metric,26.797000,-37.147000,270.000000,bottom
R23,10k,R_0603_1608Metric,15.367000,-37.655000,270.000000,bottom
R24,100k,R_0603_1608Metric,58.928000,-68.262000,270.000000,bottom
R25,300k,R_0603_1608Metric,61.976000,-63.817000,270.000000,bottom
R26,120k,R_0603_1608Metric,61.976000,-58.992000,270.000000,bottom
R27,12k,R_0603_1608Metric,61.976000,-68.262000,270.000000,bottom
R28,10k,R_0603_1608Metric,62.230000,-53.912000,90.000000,bottom
R29,300k,R_0603_1608Metric,49.530000,-49.467000,90.000000,bottom
R30,120k,R_0603_1608Metric,52.578000,-49.467000,90.000000,bottom
R31,120k,R_0603_1608Metric,55.880000,-49.593000,90.000000,bottom
R32,120k,R_0603_1608Metric,58.928000,-49.467000,90.000000,bottom
R33,300k,R_0603_1608Metric,55.880000,-53.912000,90.000000,bottom
R34,100k,R_0603_1608Metric,58.928000,-53.911000,90.000000,bottom
R35,300k,R_0603_1608Metric,49.530000,-72.707000,270.000000,bottom
R36,300k,R_0603_1608Metric,52.578000,-72.707000,270.000000,bottom
R37,120k,R_0603_1608Metric,58.928000,-72.707000,270.000000,bottom
R38,120k,R_0603_1608Metric,61.976000,-72.707000,270.000000,bottom
R39,120k,R_0603_1608Metric,98.425000,-75.438000,90.000000,bottom
R40,120k,R_0603_1608Metric,52.578000,-53.911000,270.000000,bottom
R41,120k,R_0603_1608Metric,52.578000,-68.262000,90.000000,bottom
R42,10k,R_0603_1608Metric,75.438000,-92.647000,90.000000,bottom
R43,20k,R_0603_1608Metric,26.797000,-40.894000,90.000000,bottom
R44,10k,R_0603_1608Metric,29.845000,-40.894000,90.000000,bottom
R45,30k,R_0603_1608Metric,23.749000,-40.831000,270.000000,bottom
R46,4k7,R_0603_1608Metric,35.941000,-40.894000,270.000000,bottom
R47,1k2,R_0603_1608Metric,32.893000,-40.894000,270.000000,bottom
R48,100k,R_0603_1608Metric,27.813000,-54.927000,270.000000,bottom
R49,100k,R_0603_1608Metric,30.861000,-54.864000,270.000000,bottom
R50,100k,R_0603_1608Metric,24.765000,-54.927000,90.000000,bottom
R51,10k,R_0603_1608Metric,42.799000,-101.917000,270.000000,bottom
R52,10k,R_0603_1608Metric,101.219000,-102.299000,270.000000,bottom
R53,1M,R_0603_1608Metric,42.799000,-105.601000,90.000000,bottom
R54,1M,R_0603_1608Metric,101.219000,-106.172000,90.000000,bottom
R55,300k,R_0603_1608Metric,58.928000,-63.817000,270.000000,bottom
R56,12k,R_0603_1608Metric,95.377000,-75.438000,90.000000,bottom
R57,20k,R_0603_1608Metric,29.845000,-67.119000,90.000000,bottom
R58,10k,R_0603_1608Metric,26.797000,-67.119000,270.000000,bottom
R59,30k,R_0603_1608Metric,23.749000,-67.119000,270.000000,bottom
R60,4k7,R_0603_1608Metric,35.941000,-67.119000,270.000000,bottom
R61,1k2,R_0603_1608Metric,32.893000,-67.119000,270.000000,bottom
R62,100k,R_0603_1608Metric,27.813000,-80.581000,270.000000,bottom
R63,100k,R_0603_1608Metric,30.861000,-80.581000,270.000000,bottom
R64,100k,R_0603_1608Metric,24.765000,-80.581000,270.000000,bottom
R65,300k,R_0603_1608Metric,55.880000,-72.707000,270.000000,bottom
R66,300k,R_0603_1608Metric,55.880000,-68.262000,270.000000,bottom
R67,120k,R_0603_1608Metric,90.551000,-75.438000,90.000000,bottom
R68,120k,R_0603_1608Metric,101.473000,-75.438000,90.000000,bottom
U1,TL074,TSSOP-14_4.4x5mm_P0.65mm,101.600000,-30.734000,270.000000,bottom
U2,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,29.464000,-47.752000,270.000000,bottom
U3,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,29.845000,-73.914000,270.000000,bottom
U4,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,53.975000,-61.214000,270.000000,bottom
U5,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,87.630000,-66.040000,270.000000,bottom
U6,DG469EQ,MSOP-8_3x3mm_P0.65mm,86.741000,-41.021000,270.000000,bottom
U7,DG469EQ,MSOP-8_3x3mm_P0.65mm,111.506000,-41.021000,270.000000,bottom
